Ruta;Nombre;Extension;LoTengo;Editorial;EstadoARG;EstadoJPN;UltimoTomoARG;UltimoTomoJPN;Siguiendo
Mangas/KoeNoKatachi/;KoeNoKatachi05;.jpg;Si;Ivrea;Terminada;Terminada;7;7;No
Mangas/KoeNoKatachi/;KoeNoKatachi06;.jpg;Si;Ivrea;Terminada;Terminada;7;7;No
Mangas/KoeNoKatachi/;KoeNoKatachi07;.jpg;Si;Ivrea;Terminada;Terminada;7;7;No
Mangas/TomosUnicos/;LaChicaALaOrillaDelMar;.jpg;Si;Ivrea;TomoUnico;TomoUnico;1;1;No
Mangas/TomosUnicos/;LaCiudadDeLaLuz;.jpg;Si;Ivrea;TomoUnico;TomoUnico;1;1;No
Mangas/TomosUnicos/;LosDiosesMienten;.jpg;Si;Ivrea;TomoUnico;TomoUnico;1;1;No
Mangas/MaliciousCode/;MaliciousCode01;.jpg;Si;Ivrea;Terminada;Terminada;4;4;No
Mangas/MaliciousCode/;MaliciousCode02;.jpg;Si;Ivrea;Terminada;Terminada;4;4;No
Mangas/MaliciousCode/;MaliciousCode03;.jpg;Si;Ivrea;Terminada;Terminada;4;4;No
Mangas/MaliciousCode/;MaliciousCode04;.jpg;Si;Ivrea;Terminada;Terminada;4;4;No
Mangas/TomosUnicos/;MeDijisteParaSiempre;.jpg;Si;Ivrea;TomoUnico;TomoUnico;1;1;No
Mangas/Monster/;Monster01;.jpg;Si;Ivrea;Terminada;Terminada;9;9;Si
Mangas/Monster/;Monster02;.jpg;Si;Ivrea;Terminada;Terminada;9;9;Si
Mangas/Monster/;Monster03;.jpg;Si;Ivrea;Terminada;Terminada;9;9;Si
Mangas/Monster/;Monster04;.jpg;No;Ivrea;Terminada;Terminada;9;9;Si
Mangas/Monster/;Monster05;.jpg;No;Ivrea;Terminada;Terminada;9;9;Si
Mangas/Monster/;Monster06;.jpg;No;Ivrea;Terminada;Terminada;9;9;Si
Mangas/Monster/;Monster07;.jpg;No;Ivrea;Terminada;Terminada;9;9;Si
Mangas/Monster/;Monster08;.jpg;No;Ivrea;Terminada;Terminada;9;9;Si
Mangas/Monster/;Monster09;.jpg;No;Ivrea;Terminada;Terminada;9;9;Si
Mangas/Mx0/;Mx0-01;.jpg;Si;Ivrea;Terminada;Terminada;10;10;No
Mangas/Mx0/;Mx0-02;.jpg;No;Ivrea;Terminada;Terminada;10;10;No
Mangas/Mx0/;Mx0-03;.jpg;No;Ivrea;Terminada;Terminada;10;10;No
Mangas/Mx0/;Mx0-04;.jpg;No;Ivrea;Terminada;Terminada;10;10;No
Mangas/Mx0/;Mx0-05;.jpg;No;Ivrea;Terminada;Terminada;10;10;No
Mangas/Mx0/;Mx0-06;.jpg;No;Ivrea;Terminada;Terminada;10;10;No
Mangas/Mx0/;Mx0-07;.jpg;No;Ivrea;Terminada;Terminada;10;10;No
Mangas/Mx0/;Mx0-08;.jpg;No;Ivrea;Terminada;Terminada;10;10;No
Mangas/Mx0/;Mx0-09;.jpg;No;Ivrea;Terminada;Terminada;10;10;No
Mangas/Mx0/;Mx0-10;.jpg;No;Ivrea;Terminada;Terminada;10;10;No
Mangas/TomosUnicos/;MyCapricornFriend;.jpg;Si;Ivrea;TomoUnico;TomoUnico;1;1;No
Mangas/TomosUnicos/;NijigaharaHolograph;.jpg;Si;Ivrea;TomoUnico;TomoUnico;1;1;No
Mangas/OnePiece/;OnePiece01;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece02;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece03;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece04;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece05;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece06;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece07;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece08;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece09;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece10;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece11;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece12;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece13;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece14;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece15;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece16;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece17;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece18;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece19;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece20;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece21;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece22;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece23;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece24;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece25;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece26;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece27;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece28;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece29;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
Mangas/OnePiece/;OnePiece30;.jpg;Si;Ivrea;En curso;En curso;80;108;Si
